label,N,S,E,W,total_vehicles,max_min_ratio,fixed_clearance_s,fixed_cleared,rl_clearance_s,rl_cleared,diff_s,pct_improvement
balanced_light,3,3,3,3,12,1.0,58.8,True,32.0,True,26.8,45.58
balanced_medium,7,7,7,7,28,1.0,66.55,True,56.0,True,10.55,15.85
balanced_heavy,10,10,10,10,40,1.0,72.35,True,72.0,True,0.35,0.48
balanced_max,13,13,13,13,52,1.0,75.9,True,88.0,True,-12.1,-15.94
mild_ns_heavy,8,8,4,4,24,2.0,58.8,True,48.0,True,10.8,18.37
mild_ew_heavy,4,4,8,8,24,2.0,69.3,True,48.0,True,21.3,30.74
mild_n_heavy,10,5,5,5,25,2.0,60.25,True,48.0,True,12.25,20.33
mild_e_heavy,5,5,10,5,25,2.0,65.05,True,56.0,True,9.05,13.91
mod_ns_heavy,10,10,2,2,24,5.0,53.2,True,56.0,True,-2.8,-5.26
mod_ew_heavy,2,2,10,10,24,5.0,72.3,True,,False,,
mod_n_only_heavy,12,3,3,3,21,4.0,58.8,True,56.0,True,2.8,4.76
mod_w_only_heavy,3,3,3,12,21,4.0,68.5,True,48.0,True,20.5,29.93
severe_ns_heavy,13,13,1,1,28,13.0,51.45,True,56.0,True,-4.55,-8.84
severe_ew_heavy,1,1,13,13,28,13.0,77.05,True,56.0,True,21.05,27.32
severe_n_only,13,1,1,1,16,13.0,51.45,True,64.0,True,-12.55,-24.39
severe_s_only,1,13,1,1,16,13.0,51.45,True,72.0,True,-20.55,-39.94
severe_e_only,1,1,13,1,16,13.0,64.45,True,48.0,True,16.45,25.52
severe_w_only,1,1,1,13,16,13.0,62.8,True,48.0,True,14.8,23.57
mixed_1,13,6,9,2,30,6.5,61.6,True,,False,,
mixed_2,2,9,6,13,30,6.5,73.3,True,,False,,
